FOTOWEBCAM,Astental West,"Fotowebcam,Astental / Burgstalleralm - Blick nach Suedwesten,http://www.foto-webcam.eu/webcam/burgstalleralm/current/400.jpg,Intervall:600,Direction:263",46.962005,12.98232,,
FOTOWEBCAM,Heiligenblut,"Fotowebcam,Heiligenblut / Zirbenhof - Blick zum Grossglockner,http://www.foto-webcam.eu/webcam/heiligenblut/current/400.jpg,Intervall:600,Direction:300",47.021,12.8773,,
FOTOWEBCAM,Wallackhaus Sued,"Fotowebcam,Berggasthof Wallackhaus - Heiligenblut - Blick nach Sueden,http://www.foto-webcam.eu/webcam/wallackhaus/current/400.jpg,Intervall:600,Direction:190",47.072917,12.839589,,
FOTOWEBCAM,Wallackhaus Nord,"Fotowebcam,Berggasthof Wallackhaus - Heiligenblut - Blick nach Norden zum Hochtor,http://www.foto-webcam.eu/webcam/wallackhaus-nord/current/400.jpg,Intervall:600,Direction:360",47.069218,12.838868,,
FOTOWEBCAM,Freiwandeck,"Fotowebcam,Freiwandeck - Blick zum Grossglockner,http://www.foto-webcam.eu/webcam/freiwandeck/current/400.jpg,Intervall:600,Direction:280",47.078201,12.756396,,
FOTOWEBCAM,Grossglockner,"Fotowebcam,Grossglockner / Top of Austria - Blick nach Norden,http://www.foto-webcam.eu/webcam/grossglockner/current/400.jpg,Intervall:600,Direction:5",47.074619,12.694002,,
FOTOWEBCAM,Dellach im Drautal,"Fotowebcam,Dellach im Drautal - Blick nach Norden,http://www.foto-webcam.eu/webcam/dellach/current/400.jpg,Intervall:1800,Direction:360",46.730812,13.088379,,
FOTOWEBCAM,Lienz Zettersfeld,"Fotowebcam,Lienz / Zettersfeld - Blick in die Lienzer Dolomiten,http://www.foto-webcam.eu/webcam/lienz/current/400.jpg,Intervall:600,Direction:200",46.86,12.79,,
FOTOWEBCAM,Feldkopf,"Fotowebcam,Wangenitztal / Feldkopf - Blick ueber den Wangenitzsee nach Osten,http://www.foto-webcam.eu/webcam/feldkopf/current/400.jpg,Intervall:600,Direction:110",46.928982,12.789711,,
FOTOWEBCAM,Kals,"Fotowebcam,Kals am Grossglockner - Blick nach Westen,http://www.foto-webcam.eu/webcam/kals/current/400.jpg,Intervall:600,Direction:280",47.007477,12.647537,,
FOTOWEBCAM,Kals Nord,"Fotowebcam,Kals am Grossglockner - Blick nach Nordosten,http://www.foto-webcam.eu/webcam/kals-nord/current/400.jpg,Intervall:1800,Direction:40",46.98332,12.626943,,
FOTOWEBCAM,Glocknerwinkel,"Fotowebcam,Glocknerwinkel / Blick nach Norden zum Grossglockner,http://www.foto-webcam.eu/webcam/glocknerwinkel/current/400.jpg,Intervall:600,Direction:3",47.021832,12.689609,,
FOTOWEBCAM,St.Veit in Defereggen,"Fotowebcam,St.Veit im Defereggental - Blick nach Westen,http://www.foto-webcam.eu/webcam/stveit/current/400.jpg,Intervall:1800,Direction:252",46.927657,12.435715,,
FOTOWEBCAM,Hopfgarten,"Fotowebcam,Hopfgarten im Defereggental - Blick nach Osten,http://www.foto-webcam.eu/webcam/hopfgarten/current/400.jpg,Intervall:600,Direction:60",46.909794,12.479249,,
FOTOWEBCAM,Virgen Sonnberg,"Fotowebcam,Virgen / Sonnberg - Blick nach Westen,http://www.foto-webcam.eu/webcam/virgen-west/current/400.jpg,Intervall:600,Direction:258",47.00832,12.470775,,
FOTOWEBCAM,Virgen Wuerfelehuette,"Fotowebcam,Virgen / Wuerfelehuette - Blick nach Norden,http://www.foto-webcam.eu/webcam/virgen-nord/current/400.jpg,Intervall:600,Direction:10",46.990593,12.44769,,
FOTOWEBCAM,Eispark Osttirol,"Fotowebcam,Eispark Osttirol - Der groesste kuenstliche Eisklettergarten in Oesterreich,http://www.foto-webcam.eu/webcam/eispark-osttirol/current/400.jpg,Intervall:0,Direction:280",47.126126,12.479778,,
FOTOWEBCAM,Kronplatz,"Fotowebcam,Kronplatz - Bruneck / Pustertal - Blick nach Norden ueber das Tauferer Tal,http://www.foto-webcam.eu/webcam/kronplatz/current/400.jpg,Intervall:600,Direction:350",46.740515,11.959224,,
FOTOWEBCAM,San Cassiano,"Fotowebcam,Alta Badia / San Cassiano - La Villa,http://www.foto-webcam.eu/webcam/st-kassian/current/400.jpg,Intervall:600,Direction:300",46.581471,11.919009,,
FOTOWEBCAM,Gummer,"Fotowebcam,Gummer / Sternwarte Max Valier - Blick nach Suedosten,http://www.foto-webcam.eu/webcam/gummer/current/400.jpg,Intervall:600,Direction:165",46.453071,11.462664,,
FOTOWEBCAM,Sternwarte-Suedtirol,"Fotowebcam,Gummer / Sternwarte Max Valier - Blick nach Sueden,http://www.foto-webcam.eu/webcam/gummer-starcam/current/400.jpg,Intervall:0,Direction:180",46.453071,11.462664,,
FOTOWEBCAM,Gantkofel,"Fotowebcam,Gantkofel / Mt. Macaion - Blick ueber Bozen in die Dolomiten,http://www.foto-webcam.eu/webcam/gantkofel/current/400.jpg,Intervall:600,Direction:95",46.49324,11.21057,,
FOTOWEBCAM,Meran,"Fotowebcam,Marlinger Berg - Meran - Blick nach Nordosten,http://www.foto-webcam.eu/webcam/meran/current/400.jpg,Intervall:600,Direction:65",46.662312,11.1279,,
FOTOWEBCAM,Meran Hochmuth,"Fotowebcam,Berggasthaus Hochmuth - Dorf Tirol / Meran - Blick nach Suedosten,http://www.foto-webcam.eu/webcam/hochmuth/current/400.jpg,Intervall:600,Direction:160",46.701997,11.131521,,
FOTOWEBCAM,Hintereisferner 1,"Fotowebcam,Hintereisferner - Blick Richtung Weisskugel und Langtaufererspitze,http://www.foto-webcam.eu/webcam/hintereisferner1/current/400.jpg,Intervall:1800,Direction:250",46.7959,10.7828,,
FOTOWEBCAM,Hintereisferner 2,"Fotowebcam,Hintereisferner - Blick Richtung Hintere Hintereisspitze,http://www.foto-webcam.eu/webcam/hintereisferner2/current/400.jpg,Intervall:1800,Direction:45",46.7959,10.7828,,
FOTOWEBCAM,Tisenjoch,"Fotowebcam,Tisenjoch - Blick nach Suedwesten zur Oetzi Fundstelle,http://www.foto-webcam.eu/webcam/tisenjoch/current/400.jpg,Intervall:1800,Direction:270",46.779567,10.840917,,
