DA/AM-045,Bremeneck,DA/AM-045,47.6013,10.9971,1410
DA/AM-046,Bruckkoepfel,DA/AM-046,47.6408,10.8675,1092
DA/AM-048,Brunnenkoepfl,DA/AM-048,47.5506,10.9683,1609
DA/AM-049,Dreierkoepfel,DA/AM-049,47.5547,11.0039,1748
DA/AM-051,Duereckkopf,DA/AM-051,47.6292,10.94,1422
DA/AM-052,Felderkopf,DA/AM-052,47.5317,11.0186,1818
DA/AM-053,G'hoerigenkoepf,DA/AM-053,47.5533,10.9456,1298
DA/AM-054,Geissberg,DA/AM-054,47.6447,11.0617,1484
DA/AM-055,Geisssprungkopf,DA/AM-055,47.54,11.0014,1934
DA/AM-056,Gelber Wandschrofen,DA/AM-056,47.5633,10.7775,1645
DA/AM-057,Grosser Zunderkopf,DA/AM-057,47.5347,11.0342,1895
DA/AM-058,Gschwandkopf,DA/AM-058,47.61,11.0972,1480
DA/AM-059,Gsimseck,DA/AM-059,47.6158,10.9278,1152
DA/AM-060,Haldemooseck,DA/AM-060,47.6533,10.9475,1007
DA/AM-061,Hennenkopf (2),DA/AM-061,47.5878,10.8128,1356
DA/AM-062,Heuberg,DA/AM-062,47.5475,11.1072,999
DA/AM-063,Hinterer Rappenkopf,DA/AM-063,47.585,11.05,1389
DA/AM-064,Hinterschergen,DA/AM-064,47.6281,10.9792,1307
DA/AM-065,Hintertoerle,DA/AM-065,47.5819,10.8519,1674
DA/AM-066,Hirschbichlruecken,DA/AM-066,47.5153,11.0275,1683
DA/AM-067,Hoher Trauchberg,DA/AM-067,47.6397,10.895,1456
DA/AM-068,Hoellstein,DA/AM-068,47.5892,11.125,1435
DA/AM-069,Mittleres Hoernle,DA/AM-069,47.6401,11.0619,1496
DA/AM-070,Vorderes Hoernle,DA/AM-070,47.6436,11.0606,1484
DA/AM-072,Jaufen,DA/AM-072,47.5892,10.8922,1624
DA/AM-073,Kenzenkoepfel,DA/AM-073,47.5692,10.8542,1354
DA/AM-074,Kirchenkopf,DA/AM-074,47.5597,10.9469,1209
DA/AM-076,Kleinwildfeuerberg,DA/AM-076,47.6367,10.9353,1500
DA/AM-077,Koepfel,DA/AM-077,47.6128,11.0058,1196
DA/AM-078,Krottenkoepfel,DA/AM-078,47.5192,11.0092,1780
DA/AM-079,Krottenstein,DA/AM-079,47.5906,10.8819,1684
DA/AM-080,Latschenkopf,DA/AM-080,47.5867,10.9861,1740
DA/AM-081,Lausbichel,DA/AM-081,47.5133,10.9581,1952
DA/AM-083,Manndlkoepfe,DA/AM-083,47.5836,11.1108,1605
DA/AM-084,Martinswand,DA/AM-084,47.5761,10.9331,1352
DA/AM-086,Mitterwachsbichel,DA/AM-086,47.6147,10.9861,1316
DA/AM-087,Muehlberg,DA/AM-087,47.5697,11.1153,1350
DA/AM-088,Nickelskopf,DA/AM-088,47.5972,10.8914,1364
DA/AM-089,Niederbleieck,DA/AM-089,47.6356,10.9128,1589
DA/AM-090,Niederstraussberg,DA/AM-090,47.5486,10.8153,1877
DA/AM-091,Ochsensitz,DA/AM-091,47.5569,11.0845,1515
DA/AM-092,Rabenkopf,DA/AM-092,47.5528,11.1147,1107
DA/AM-093,Rahmenstein,DA/AM-093,47.5683,10.8258,1378
DA/AM-094,Rauheck,DA/AM-094,47.4953,10.9828,1636
DA/AM-095,Rauhenstein,DA/AM-095,47.4981,10.9875,1727
DA/AM-096,Rehbreinkopf,DA/AM-096,47.6228,11.085,1416
DA/AM-099,Rosengarten,DA/AM-099,47.6019,11.0045,1423
DA/AM-100,Rosseck,DA/AM-100,47.575,10.9411,1305
DA/AM-101,Rosskarkopf,DA/AM-101,47.5142,11.0442,1712
DA/AM-102,Roskopf,DA/AM-102,47.6056,10.9544,1172
DA/AM-103,Rossstallkopf,DA/AM-103,47.5881,10.8658,1490
DA/AM-105,Saueregg,DA/AM-105,47.5169,10.7775,1703
DA/AM-106,Schaeferblasse,DA/AM-106,47.5386,10.8397,1764
DA/AM-107,Schaffelberg,DA/AM-107,47.5864,11.0906,1434
DA/AM-108,Scharfeck,DA/AM-108,47.5097,10.9617,1926
DA/AM-109,Schartenkoepf,DA/AM-109,47.6075,11.0069,1370
DA/AM-111,Schloessel,DA/AM-111,47.5558,10.8628,1806
DA/AM-113,Schwabenkopf,DA/AM-113,47.5956,10.9547,1346
DA/AM-114,Schwarzeck,DA/AM-114,47.6386,10.9019,1471
DA/AM-115,Schwarzenkoepfel (1),DA/AM-115,47.5294,10.9086,1897
DA/AM-116,Schwarzenkoepfel (2),DA/AM-116,47.61,10.8728,1189
DA/AM-117,Sefelwand,DA/AM-117,47.5781,10.9147,1724
DA/AM-118,Stierkopf,DA/AM-118,47.6354,11.0748,1535
DA/AM-119,Straussbergkoepfel,DA/AM-119,47.5497,10.7994,1767
DA/AM-120,Sulzeck,DA/AM-120,47.5736,10.925,1389
DA/AM-121,Sunkenberg,DA/AM-121,47.4997,10.9364,1301
DA/AM-123,Vorderer Ziegspitz,DA/AM-123,47.5072,11.0117,1815
DA/AM-126,Windstierleck,DA/AM-126,47.5261,11.0008,1701
