# This file is generated from data from 
# http://www.viewfinderpanoramas.org/ (Alps)  and
# http://www.alpin-koordinaten.de/    (Nepal)
#
# local additions
#
loc_1,PARSEIERSPITZE,,47.174257,10.478691,3036
#
# Thu Feb 26 12:00:46 CET 2009
# and is included in the gipfel tarball with the kind permission of
# Jonathan de Ferranti and www.alpin-koordinaten.de
#
# Nepal peaks from http://www.alpin-koordinaten.de
#
TARIKH,Tarikha,,27.79333,86.64583,6187
TRKNGL,TarkeKang (Glacier Dome),,28.60694,83.89111,7193
TSHKNG,Tashi Kang,,28.85167,83.63194,6386
TAWACH,Tawache,,27.89667,86.78,6501
THMSRK,Thamaserku,,27.78472,86.7875,6623
THPLSC,ThapleShikhar (CrossPeak),,27.75083,88.15,6341
THNGMC,Thengmuche,,27.80389,86.59806,6492
TILTSO,Tilitso,,28.68278,83.81389,7134
TONGU,Tongu,,28.865,83.50694,6197
TRTHNG,Tripura Thumba (hanging Glacier),,29.32667,82.73694,6553
TSARTS,Tsartse,,28.86028,83.64972,6343
TSRBNG,Tsaurabong,,28.69167,83.37694,6395
TSHKRK,TshoKarpo Kang,,29.36861,82.78167,6556
TSOGAK,Tsogaka,,28.38333,85.6875,7193
TSSIMA,Tssima,,27.87833,88.02861,6224
TUKUCH,Tukuche,,28.74611,83.56194,6920
UBRA,Ubra,,28.26833,85.57611,6266
URKNMN,Urkinmang,,28.16861,85.71611,6151
VRHSHF,VarahShikar (Fang),,28.57806,83.80333,7647
YKWKNG,YakaWa Kang,,28.81028,83.94444,6482
YLNGKN,Yalung Kang,,27.70417,88.14028,8505
YNSTSN,Yansa Tsenji,,28.27083,85.63333,6690
YASTHK,Yasa Thak,,27.84583,86.58111,6151
YAUPA,Yaupa,,27.8375,87.14083,6424.3
,GAISBERG,,47.80444,13.11206,1288
,Cam Funtensee,,47.48649,12.9707,2474
,Goeblberg,,48.09310,13.52639,798
#
#http://download.geonames.org/export/zip/
#
AT,Aalfang,,48.833290,15.066690,,
AT,Aberg,,47.400000,12.899990,,
AT,Abern,,48.056300,13.152200,,
AT,Abetzberg,,48.083300,14.766690,,
AT,Abriach,,46.549990,14.500000,,
AT,Absam,,47.299990,11.500000,,
AT,Absdorf,,48.306190,15.619200,,
AT,Abstetten,,48.264500,15.985590,,
AT,Abtei,,46.551890,14.473290,,
AT,Abtenau,,47.563700,13.345990,,
AT,Abtissendorf,,46.995800,15.456390,,
AT,Abtsdorf,,47.910190,13.511900,,
AT,Abwinden,,48.258990,14.426300,,
AT,Ach,,48.341890,14.093600,,
AT,Achalm,,46.649990,14.933300,,
AT,Acharting,,47.900000,13.000000,,
AT,Achatzberg,,48.220100,14.789490,,
AT,Achau,,48.080300,16.386090,,
AT,Achenkirch,,47.526590,11.705590,,
AT,Achenlohe,,48.047590,13.199900,,
AT,Aching,,48.233290,13.066690,,
AT,Achleit,,47.495400,12.040900,,
AT,Achleiten,,48.456500,14.438390,,
AT,Achleiten,,48.546600,13.453390,,
AT,Achomitz,,46.568900,13.608600,,
AT,Ackersberg,,48.066700,13.533300,,
AT,Adeldorf,,48.171390,15.683800,,
AT,Adenbruck,,48.316690,13.733300,,
AT,Aderklaa,,48.283300,16.533300,,
AT,Ading,,46.904710,14.215000,,
AT,Adletzberg,,48.299900,15.813800,,
AT,Adlhaming,,48.010490,13.947090,,
AT,Adlwang,,47.992400,14.217390,,
AT,Admont,,47.575400,14.460800,,
AT,Adnet,,47.697490,13.131100,,
AT,Adriach,,46.682590,14.062000,,
AT,Adriach,,47.266700,15.300000,,
